URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/Naturraumregionen/ALP	ALP	Alpine Region		entspricht der alpinen biogeographischen Region	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/KlBeck	KlBeck	Klagenfurter Becken	Alpine Region	Kärntner Becken- und Tallandschaften	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/KONT	KONT	Kontinentale Region		entspricht der kontinentalen biogeographischen Region	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlpMiWest	NAlpMiWest	Mittlere und westliche Nordalpen	Nordalpen	mittlerer und westlicher Teil der Nordalpen aufgrund arealgeographischer Überlegungen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlp	NAlp	Nordalpen	Alpine Region	nördliches Alpengebiet mit Einschluss der Flyschzone	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAV	NAV	Nördliches Alpenvorland	Kontinentale Region	Vorland nördlich der Alpen unter Ausschluss der Flyschzone	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/NoeGrGnHL	NoeGrGnHL	Nördliches Granit- und Gneishochland	Kontinentale Region	Böhmische Masse	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/Pann	Pann	Pannonische Flach- und Hügelländer	Kontinentale Region	pannonische Flach- und Hügelländer Ostösterreichs	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/SAlp	SAlp	Südalpen	Alpine Region	südliches Alpengebiet	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/SoeAV	SoeAV	Südöstliches Alpenvorland	Kontinentale Region	Grazer Bucht, Hügelländer im mittleren und südlichen Burgenland	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlp	ZAlp	Zentralalpen	Alpine Region	zentrales Alpengebiet	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpSO	ZAlpSO	Zentralalpen - südöstlicher Teil	Zentralalpen	Untegrliederung der Zentralalpen aufgrund physiogeographischer Charakteristika (überwiegend Mittelgebirgscharakter und umfaßt die Buckelige Welt, das steirische Bergland, die Fischbacher Alpen, die Gleinalpe, die Koralpe, die Seetaler Apen und die Nochberge)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/ZAlpZ	ZAlpZ	Zentralalpen - zentraler Teil	Zentralalpen	Untergliederund der Zentralalpen aufgrund pysiogeograühischer Charakteristika (überwiegend Hochgebirgscharakter und reicht vom Montafon im Westen über die Silvretta, den Ötzlater und Stubaier Alpen, den Hohen Tauern bis zu den Niederen Tauern im Westen)	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/Naturraumregionen/NAlpOst	NAlpOst	Östliche Nordalpen	Nordalpen	östlicher Teil der Nordalpen aufgrund arealgeographischer Überlegungen	INSPIRE governance level: national-technical	http://inspire.ec.europa.eu/applicationschema/br	http://inspire.ec.europa.eu/theme/br	http://inspire.ec.europa.eu/registry/status/valid
